column,p01,p99,n_clipped_low,n_clipped_high
FN3_3,0.0,100.0,10,2
FN3_6,-2363.9873,29865.461899999962,1478,1478
FN3_10,22.556900000000002,100.0,1478,55
FN1_1_to_assets,0.0218257622496994,0.9970781453452471,1478,1478
FN1_2_to_assets,0.0029218546544638752,0.9781742377502518,1478,1478
FN1_3_to_assets,0.010185441887746217,0.976226655372173,1478,1478
FN1_4_to_assets,0.0,0.8428159776259652,5,1478
FN1_5_to_assets,0.0,0.9556963707404306,21,1478
FN1_6_to_assets,0.0,0.15238999042726803,0,1478
FN1_7_to_assets,0.0,6.780893630467995e-05,0,1478
FN1_8_to_assets,0.0,0.0,0,523
FN1_9_to_assets,0.0,0.13457262147518276,0,1478
FN1_10_to_assets,0.0,0.42937004520633004,1,1478
FN1_11_to_assets,0.0,0.7413292277462417,15,1478
FN1_11_2_to_assets,0.0,0.002597894547677055,10,1478
FN1_11_3_to_assets,0.0,0.4642996792378204,17,1478
FN1_11_4_to_assets,0.0,0.6280177036993455,2,1478
FN1_14_to_assets,0.010030909909599749,2.2440907942955426,1478,1478
FN1_15_to_assets,0.0,1.4147624072850131,13,1478
FN1_16_to_assets,0.0,1.9917494650749952,12,1478
FN1_17_to_assets,0.0,0.6108922798471337,20,1478
FN1_18_to_assets,-0.10335814334464898,1.3689729854590518,1478,1478
FN1_19_to_assets,0.03773038405841442,2.9417942127215038,1478,1478
FN1_20_to_assets,0.0008900103929524615,0.7564089262693646,1478,1478
FN1_21_to_assets,0.0,1.0704808947171653,312,1478
FN1_21_1_to_assets,0.0010825084442886357,1.2944951123833794,1478,1478
FN1_22_to_assets,-1.9882549625700239,1.0836308899542038,1478,1478
FN1_22_1_to_assets,-0.17107312310358633,0.006777185871082962,1478,1478
FN1_22_2_to_assets,-0.01365289320089952,0.3430625394279711,1478,1478
FN1_23_to_assets,-1.538366072135864,1.1800767626307307,1478,1478
FN1_24_to_assets,-1.2443252837938918,1.3299364877443975,1478,1478
FN3_10_1_to_assets,0.22552786359077429,0.9999999999994211,1478,1478
FN3_11_to_assets,-1.7176753724384346,0.9022664848360491,1478,1478
FN3_11_1_to_assets,-0.7352927848571883,1.8105828106453177,1478,1478
FN2_2_to_revenue,0.0,1.254957019590736,18,1478
FN2_2_1_to_revenue,-0.2549570195928921,0.9999999999999083,1478,1475
FN2_3_to_revenue,0.017850311491717303,5.587346578964198,1478,1478
FN2_3_1_to_revenue,-5.777628117888812,0.4665948378419172,1478,1478
FN2_3_2_to_revenue,-3.093545845329717,3.655028214179913,1478,1478
FN2_3_3_to_revenue,-0.020643271388353767,0.13402034152623513,1478,1478
FN2_3_4_to_revenue,-1.9032631309234749,0.5564817594432511,1478,1478
FN2_3_5_to_revenue,0.0,0.0,519,440
FN2_4_to_revenue,0.0,1.2169163079938685,9,1478
FN2_5_to_revenue,-5.777628117888812,0.4665948378419172,1478,1478
FN2_5_1_to_revenue,-3.093545845329717,3.655028214179913,1478,1478
FN2_7_to_revenue,1.9066417179628333e-05,3.1273918456821144,1478,1478
FN2_8_to_revenue,0.0,2.5702318880099475,11,1478
FN2_9_to_revenue,-6.05392099209294,0.8469601338344783,1478,1478
FN2_10_to_revenue,-6.299451696644344,0.7946596018549753,1478,1478
FN3_1_to_revenue,-0.8141323096603843,0.6848552709359789,1478,1478
FN3_2_to_revenue,-2.0771328638812445,0.9651410058134176,1478,1478
FN3_2_1_to_revenue,-1.7957554950781518,0.8758199919134623,1478,1478
FN3_2_2_to_revenue,-1.1854331425008084,2.893424480408961,1478,1478
FN3_4_1_to_revenue,0.0,1.2102830803482731,8,1478
FN3_4_2_to_revenue,0.0,0.0,0,21
FN3_7_to_revenue,-7.3714648048078795,0.7504921807030595,1478,1478
FN3_8_to_revenue,-5.313220977520492,0.6786471201197748,1478,1478
asset_growth_rate,-0.4841986052513154,2.627960461373974,1478,1478
revenue_growth_rate,-0.977693306812218,6.6927664485932405,1478,1478
operating_income_growth,-35.72641802289987,39.0284131076274,1478,1478
net_income_growth,-44.768310674004546,25.529041097650847,1478,1478
equity_growth_rate,-4.2105512724995,6.180278007946567,1478,1478
