scheme,agreement_pct
"Equal (1,1,1,1,1)",100.0
"Prox-heavy (5,3,1,1,1)",100.0
"Real-heavy (5,1,1,3,1)",100.0
"Rob-heavy (5,1,1,1,3)",100.0
