scheme,spearman_rho,p_value
"Equal (1,1,1,1,1)",0.9999988395403868,0.0
"Prox-heavy (5,3,1,1,1)",0.9883743156010424,0.0
"Real-heavy (5,1,1,3,1)",0.9829575395020742,0.0
"Rob-heavy (5,1,1,1,3)",0.9811427477403214,0.0
