,Validity,Proximity,Sparsity,Realism,Robustness,QualityScore
A (No constraint + Random),0.6656 ± 0.4721,0.0931 ± 0.0579,0.3815 ± 0.1075,0.5562 ± 0.0572,0.6567 ± 0.4291,0.6477 ± 0.3095
B (Immutable + Random),0.6656 ± 0.4721,0.0931 ± 0.0579,0.3815 ± 0.1075,0.5562 ± 0.0572,0.6567 ± 0.4291,0.6477 ± 0.3095
C (Immutable + QScore) [Proposed],0.8469 ± 0.3604,0.0815 ± 0.0586,0.4126 ± 0.1562,0.5666 ± 0.0471,0.8453 ± 0.3203,0.7753 ± 0.2363
