ID,SIC_CD_3,error
61550,F42,No counterfactuals found for any of the query points! Kindly check your configuration.
29518,G46,No counterfactuals found for any of the query points! Kindly check your configuration.
52119,G47,No counterfactuals found for any of the query points! Kindly check your configuration.
57689,G47,No counterfactuals found for any of the query points! Kindly check your configuration.
143555,G46,No counterfactuals found for any of the query points! Kindly check your configuration.
72835,G46,No counterfactuals found for any of the query points! Kindly check your configuration.
79200,G46,No counterfactuals found for any of the query points! Kindly check your configuration.
73241,G46,No counterfactuals found for any of the query points! Kindly check your configuration.
25971,G47,No counterfactuals found for any of the query points! Kindly check your configuration.
11942,G46,No counterfactuals found for any of the query points! Kindly check your configuration.
142930,G47,No counterfactuals found for any of the query points! Kindly check your configuration.
78993,G46,No counterfactuals found for any of the query points! Kindly check your configuration.
134581,G47,No counterfactuals found for any of the query points! Kindly check your configuration.
127331,G47,No counterfactuals found for any of the query points! Kindly check your configuration.
68404,G47,No counterfactuals found for any of the query points! Kindly check your configuration.
32407,G46,No counterfactuals found for any of the query points! Kindly check your configuration.
4935,G46,No counterfactuals found for any of the query points! Kindly check your configuration.
53727,G47,No counterfactuals found for any of the query points! Kindly check your configuration.
142468,L68,No counterfactuals found for any of the query points! Kindly check your configuration.
56076,F42,No counterfactuals found for any of the query points! Kindly check your configuration.
5699,L68,No counterfactuals found for any of the query points! Kindly check your configuration.
16616,L68,No counterfactuals found for any of the query points! Kindly check your configuration.
97775,G46,No counterfactuals found for any of the query points! Kindly check your configuration.
122247,L68,No counterfactuals found for any of the query points! Kindly check your configuration.
59129,G46,No counterfactuals found for any of the query points! Kindly check your configuration.
130082,G46,No counterfactuals found for any of the query points! Kindly check your configuration.
90485,G47,No counterfactuals found for any of the query points! Kindly check your configuration.
133377,G46,No counterfactuals found for any of the query points! Kindly check your configuration.
73494,L68,No counterfactuals found for any of the query points! Kindly check your configuration.
74041,L68,No counterfactuals found for any of the query points! Kindly check your configuration.
3427,G46,No counterfactuals found for any of the query points! Kindly check your configuration.
61608,L68,No counterfactuals found for any of the query points! Kindly check your configuration.
10934,L68,No counterfactuals found for any of the query points! Kindly check your configuration.
89073,L68,No counterfactuals found for any of the query points! Kindly check your configuration.
66970,L68,No counterfactuals found for any of the query points! Kindly check your configuration.
43216,G47,No counterfactuals found for any of the query points! Kindly check your configuration.
79697,G46,No counterfactuals found for any of the query points! Kindly check your configuration.
103586,L68,No counterfactuals found for any of the query points! Kindly check your configuration.
35532,G46,No counterfactuals found for any of the query points! Kindly check your configuration.
11211,L68,No counterfactuals found for any of the query points! Kindly check your configuration.
38001,L68,No counterfactuals found for any of the query points! Kindly check your configuration.
99669,G47,No counterfactuals found for any of the query points! Kindly check your configuration.
143423,L68,No counterfactuals found for any of the query points! Kindly check your configuration.
25622,G46,No counterfactuals found for any of the query points! Kindly check your configuration.
94605,G46,No counterfactuals found for any of the query points! Kindly check your configuration.
142326,F42,No counterfactuals found for any of the query points! Kindly check your configuration.
37507,G46,No counterfactuals found for any of the query points! Kindly check your configuration.
57228,L68,No counterfactuals found for any of the query points! Kindly check your configuration.
145185,G46,No counterfactuals found for any of the query points! Kindly check your configuration.
126240,G46,No counterfactuals found for any of the query points! Kindly check your configuration.
29289,G47,No counterfactuals found for any of the query points! Kindly check your configuration.
45909,G46,No counterfactuals found for any of the query points! Kindly check your configuration.
31453,L68,No counterfactuals found for any of the query points! Kindly check your configuration.
104160,G47,No counterfactuals found for any of the query points! Kindly check your configuration.
118449,G46,No counterfactuals found for any of the query points! Kindly check your configuration.
17856,G47,No counterfactuals found for any of the query points! Kindly check your configuration.
54672,G46,No counterfactuals found for any of the query points! Kindly check your configuration.
78210,F42,No counterfactuals found for any of the query points! Kindly check your configuration.
35602,G47,No counterfactuals found for any of the query points! Kindly check your configuration.
96177,G46,No counterfactuals found for any of the query points! Kindly check your configuration.
123401,G46,No counterfactuals found for any of the query points! Kindly check your configuration.
16422,G47,No counterfactuals found for any of the query points! Kindly check your configuration.
120991,G47,No counterfactuals found for any of the query points! Kindly check your configuration.
108225,G47,No counterfactuals found for any of the query points! Kindly check your configuration.
148974,F42,No counterfactuals found for any of the query points! Kindly check your configuration.
39101,G46,No counterfactuals found for any of the query points! Kindly check your configuration.
127491,G47,No counterfactuals found for any of the query points! Kindly check your configuration.
5243,G46,No counterfactuals found for any of the query points! Kindly check your configuration.
130725,G46,No counterfactuals found for any of the query points! Kindly check your configuration.
135950,G47,No counterfactuals found for any of the query points! Kindly check your configuration.
92329,G46,No counterfactuals found for any of the query points! Kindly check your configuration.
114181,G47,No counterfactuals found for any of the query points! Kindly check your configuration.
86813,F42,No counterfactuals found for any of the query points! Kindly check your configuration.
39154,G47,No counterfactuals found for any of the query points! Kindly check your configuration.
80587,F42,No counterfactuals found for any of the query points! Kindly check your configuration.
16825,G47,No counterfactuals found for any of the query points! Kindly check your configuration.
58913,G47,No counterfactuals found for any of the query points! Kindly check your configuration.
77734,F42,No counterfactuals found for any of the query points! Kindly check your configuration.
87423,G46,No counterfactuals found for any of the query points! Kindly check your configuration.
14167,G46,No counterfactuals found for any of the query points! Kindly check your configuration.
11558,G46,No counterfactuals found for any of the query points! Kindly check your configuration.
26701,G46,No counterfactuals found for any of the query points! Kindly check your configuration.
45751,G46,No counterfactuals found for any of the query points! Kindly check your configuration.
31338,G47,No counterfactuals found for any of the query points! Kindly check your configuration.
37336,G47,No counterfactuals found for any of the query points! Kindly check your configuration.
137167,G46,No counterfactuals found for any of the query points! Kindly check your configuration.
60070,F42,No counterfactuals found for any of the query points! Kindly check your configuration.
71132,G46,No counterfactuals found for any of the query points! Kindly check your configuration.
147124,G46,No counterfactuals found for any of the query points! Kindly check your configuration.
48182,G47,No counterfactuals found for any of the query points! Kindly check your configuration.
