Metric,Raw (Mean ± Std),Selected (Mean ± Std),Improvement (%)
Validity,1.000 ± 0.000,1.000 ± 0.000,+0.0%
Proximity,0.004 ± 0.009,0.001 ± 0.002,+67.7%
Sparsity,0.475 ± 0.081,0.501 ± 0.129,+5.6%
Realism,0.668 ± 0.025,0.676 ± 0.013,+1.2%
Robustness,1.000 ± 0.000,1.000 ± 0.000,+0.0%
Quality_Score,0.904 ± 0.009,0.908 ± 0.014,+0.5%
