ID,SIC_CD_3,CF_Number,Validity,Proximity,Sparsity,Realism,Robustness,QualityScore,Immutable_Violated
126732,L68,1,0.0,0.10289751796519181,0.22580645161290322,0.5660428608080301,0.0,0.1876613104950824,False
126732,L68,1,0.0,0.16231069364550985,0.24193548387096775,0.47959251777532036,0.0,0.17324636755564204,False
126732,L68,1,1.0,0.13747995356795223,0.22580645161290322,0.48270282292790984,0.9,0.8301143689969845,False
54264,L68,1,0.0,0.13331227848268393,0.27419354838709675,0.6047892958240216,0.1,0.20507450730315938,False
54264,L68,1,0.0,0.14727233174924528,0.2903225806451613,0.5803988856455985,0.3,0.2248276816157238,False
54264,L68,1,0.0,0.15606688426469403,0.25806451612903225,0.5888684477178727,0.0,0.18787400884246785,False
136474,L68,1,1.0,0.04905272887118157,0.3548387096774194,0.5625788835153087,1.0,0.874262762702394,False
136474,L68,1,1.0,0.043231362397066105,0.3387096774193548,0.5123350558102668,0.9,0.8564237078702841,False
136474,L68,1,1.0,0.05421814004796094,0.3387096774193548,0.5762959555944174,1.0,0.8734208325517567,False
136474,L68,1,1.0,0.04492021442217967,0.3225806451612903,0.5497688578296425,1.0,0.869714365396528,False
48234,F42,1,0.0,0.011707775470319284,0.5967741935483871,0.575853661638303,0.1,0.2512133421907079,False
48234,F42,1,0.0,0.10312548213251951,0.4032258064516129,0.5217306465342062,0.0,0.2024256634281444,False
48234,F42,1,1.0,0.0830180639892954,0.2903225806451613,0.5317998414987986,1.0,0.8599004842394071,False
48234,F42,1,1.0,0.14247644625344616,0.2903225806451613,0.5214546196235659,0.8,0.8299223060016979,False
34218,L68,1,1.0,0.10619711245074898,0.3387096774193548,0.47232209707711004,0.9,0.8449816291161907,False
34218,L68,1,1.0,0.0976886521384694,0.2903225806451613,0.5457558267887123,1.0,0.8598210839217115,False
34218,L68,1,0.0,0.15900608990038323,0.3225806451612903,0.4374483978985251,0.0,0.17789143923993692,False
34218,L68,1,1.0,0.12345841166854571,0.3225806451612903,0.5258582560142734,1.0,0.8583311655007797,False
71017,G46,1,1.0,0.12881303759816023,0.20967741935483872,0.5582598700046071,0.8,0.8265693613068096,False
112534,L68,1,0.0,0.10349933824586412,0.3387096774193548,0.49394002143167903,0.1,0.20323892895613,False
112534,L68,1,1.0,0.07511630165617354,0.3709677419354839,0.5821211510436914,0.7,0.8419969545914446,False
112534,L68,1,1.0,0.09092181759392046,0.3709677419354839,0.5360305168560375,0.8,0.8462307156886223,False
112534,L68,1,1.0,0.08802041750394318,0.3709677419354839,0.5836103116325871,0.9,0.8629508484515699,False
75583,G46,1,1.0,0.14694913830595555,0.1774193548387097,0.44420690076052305,1.0,0.8305196796992531,False
75583,G46,1,0.0,0.10722446434473024,0.1935483870967742,0.5099701737157212,0.0,0.17736601071864058,False
75583,G46,1,0.0,0.14702654111852137,0.1774193548387097,0.46481744330721675,0.0,0.166134473003045,False
75583,G46,1,0.0,0.1625166556186516,0.1935483870967742,0.4351559491518121,0.0,0.16290974229221497,False
24659,L68,1,1.0,0.10068916849518939,0.2903225806451613,0.5064531812411731,1.0,0.855120732599016,False
24659,L68,1,1.0,0.09233400203011156,0.2903225806451613,0.5271894701720413,1.0,0.858353116531899,False
24659,L68,1,1.0,0.1299305300515188,0.2903225806451613,0.48196491949753995,1.0,0.8491507744545758,False
24659,L68,1,1.0,0.1238960142952782,0.2903225806451613,0.45940258529683314,1.0,0.8473143501829684,False
91451,L68,1,1.0,0.1477019935407296,0.27419354838709675,0.5306092099957953,0.9,0.8396778627602404,False
